Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
3150000;Pescador;Vale do Rio Doce;Governador Valadares;Itambacuri
314510910;Petúnia;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Nova Resende
3148608;Peçanha;Vale do Rio Doce;Peçanha;Peçanha
313840115;Piacatuba;Zona da Mata;Cataguases;Leopoldina
3150109;Piau;Zona da Mata;Juiz de Fora;Rio Novo
310450215;Pic Sagarana;Noroeste de Minas;Unaí;Arinos
3150158;Piedade de Caratinga;Vale do Rio Doce;Caratinga;Caratinga
3150208;Piedade de Ponte Nova;Zona da Mata;Ponte Nova;Jequeri
310900620;Piedade do Paraopeba;Metropolitana de Belo Horizonte;Belo Horizonte;Brumadinho
3150307;Piedade do Rio Grande;Campo das Vertentes;São João Del Rei;Barbacena
3150406;Piedade dos Gerais;Metropolitana de Belo Horizonte;Itaguara;Bonfim
314800427;Pilar;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
3150505;Pimenta;Oeste de Minas;Formiga;Formiga
314800425;Pindaíbas;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
3150539;Pingo-d'Água;Vale do Rio Doce;Caratinga;Caratinga
314760015;Pinheirinhos;Sul/Sudoeste de Minas;São Lourenço;Passa Quatro
314053020;Pinheiro de Minas;Zona da Mata;Manhuaçu;Manhumirim
310560823;Pinheiro Grosso;Campo das Vertentes;Barbacena;Barbacena
315080210;Pinheiros Altos;Zona da Mata;Viçosa;Piranga
312490615;Pinhotiba;Zona da Mata;Muriaé;Eugenópolis
313990410;Pintos Negreiros;Sul/Sudoeste de Minas;Itajubá;Cristina
3150570;Pintópolis;Norte de Minas;Januária;São Francisco
310350420;Piracaíba;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Araguari
3150604;Piracema;Oeste de Minas;Oliveira;Passa Tempo
3150703;Pirajuba;Triângulo Mineiro/Alto Paranaíba;Frutal;Conceição das Alagoas
3150802;Piranga;Zona da Mata;Viçosa;Piranga
3151008;Piranguinho;Sul/Sudoeste de Minas;Itajubá;Brazópolis
315520710;Piranguita;Zona da Mata;Viçosa;Conselheiro Lafaiete
3150901;Piranguçu;Sul/Sudoeste de Minas;Itajubá;Itajubá
314390630;Pirapanema;Zona da Mata;Muriaé;Muriaé
3151107;Pirapetinga;Zona da Mata;Cataguases;Pirapetinga
3151206;Pirapora;Norte de Minas;Pirapora;Pirapora
3151305;Piraúba;Zona da Mata;Ubá;Guarani
313550615;Piscamba;Zona da Mata;Ponte Nova;Jequeri
3151404;Pitangui;Metropolitana de Belo Horizonte;Pará de Minas;Pitangui
314270020;Pitarana;Norte de Minas;Januária;Montalvânia
3151503;Piumhi;Oeste de Minas;Piuí;Piumhi
315920907;Pião;Sul/Sudoeste de Minas;Poços de Caldas;Santa Rita de Caldas
312160540;Planalto de Minas;Jequitinhonha;Diamantina;Diamantina
3151602;Planura;Triângulo Mineiro/Alto Paranaíba;Frutal;Frutal
316770710;Plautino Soares;Vale do Rio Doce;Governador Valadares;Tarumirim
315820120;Poaia;Vale do Rio Doce;Peçanha;Santa Maria do Suaçuí
3151909;Pocrane;Vale do Rio Doce;Aimorés;Ipanema
3152006;Pompéu;Central Mineira;Três Marias;Pompéu
311730610;Poncianos;Triângulo Mineiro/Alto Paranaíba;Uberaba;Conceição das Alagoas
316940610;Pontalete;Sul/Sudoeste de Minas;Varginha;Três Pontas
311330525;Ponte Alta de Minas;Zona da Mata;Muriaé;Carangola
310560825;Ponte do Cosme;Campo das Vertentes;Barbacena;Barbacena
313940911;Ponte do Silva;Zona da Mata;Manhuaçu;Manhuaçu
311880920;Ponte dos Ciganos;Norte de Minas;Montes Claros;Coração de Jesus
315340020;Ponte Firme;Noroeste de Minas;Paracatu;Presidente Olegário
3152105;Ponte Nova;Zona da Mata;Ponte Nova;Ponte Nova
316557815;Ponte Segura;Sul/Sudoeste de Minas;Pouso Alegre;Cambuí
312610925;Pontevila;Oeste de Minas;Formiga;Formiga
3152131;Ponto Chique;Norte de Minas;Montes Claros;Brasília de Minas
310560827;Ponto Chique do Martelo;Campo das Vertentes;Barbacena;Barbacena
311300815;Ponto do Marambaia;Jequitinhonha;Araçuaí;Novo Cruzeiro
3152170;Ponto dos Volantes;Jequitinhonha;Araçuaí;Araçuaí
3152204;Porteirinha;Norte de Minas;Janaúba;Porteirinha
313695920;Porto Agrário;Norte de Minas;Januária;Montalvânia
310610110;Porto das Flores;Zona da Mata;Juiz de Fora;Matias Barbosa
311120010;Porto dos Mendes;Oeste de Minas;Campo Belo;Campo Belo
3152303;Porto Firme;Zona da Mata;Viçosa;Piranga
313835120;Posses;Jequitinhonha;Capelinha;Turmalina
3152402;Poté;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
3152501;Pouso Alegre;Sul/Sudoeste de Minas;Pouso Alegre;Pouso Alegre
313550617;Pouso Alegre da Mata;Zona da Mata;Ponte Nova;Jequeri
3152600;Pouso Alto;Sul/Sudoeste de Minas;São Lourenço;São Lourenço
3151701;Poço Fundo;Sul/Sudoeste de Minas;Alfenas;Poço Fundo
3151800;Poços de Caldas;Sul/Sudoeste de Minas;Poços de Caldas;Poços de Caldas
314640410;Poções de Paineiras;Central Mineira;Três Marias;Abaeté
3152709;Prados;Campo das Vertentes;São João Del Rei;Prados
3152808;Prata;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Prata
313770020;Prata de Lajinha;Zona da Mata;Manhuaçu;Lajinha
3153004;Pratinha;Triângulo Mineiro/Alto Paranaíba;Araxá;Ibiá
3152907;Pratápolis;Sul/Sudoeste de Minas;Passos;Pratápolis
316560220;Pregos;Zona da Mata;Juiz de Fora;Mar de Espanha
3153103;Presidente Bernardes;Zona da Mata;Viçosa;Piranga
3153202;Presidente Juscelino;Central Mineira;Curvelo;Curvelo
3153301;Presidente Kubitschek;Jequitinhonha;Diamantina;Curvelo
3153400;Presidente Olegário;Noroeste de Minas;Paracatu;Presidente Olegário
311370115;Presidente Pena;Vale do Mucuri;Nanuque;Carlos Chagas
311600110;Professor Sperber;Zona da Mata;Manhuaçu;Lajinha
313840120;Providência;Zona da Mata;Cataguases;Leopoldina
3153608;Prudente de Morais;Metropolitana de Belo Horizonte;Sete Lagoas;Matozinhos
312450010;Pântano;Sul/Sudoeste de Minas;Pouso Alegre;Pouso Alegre
311930213;Pântano de Santa Cruz;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Coromandel
314760010;Pé do Morro;Sul/Sudoeste de Minas;São Lourenço;Passa Quatro
315370710;Quartel de São João;Central Mineira;Bom Despacho;Dores do Indaiá
310780215;Quartel do Sacramento;Vale do Rio Doce;Caratinga;Caratinga
3153707;Quartel Geral;Central Mineira;Bom Despacho;Dores do Indaiá
313410310;Quatituba;Vale do Rio Doce;Aimorés;Resplendor
312490620;Queirozes;Zona da Mata;Muriaé;Eugenópolis
314530720;Queixada;Jequitinhonha;Araçuaí;Novo Cruzeiro
3153806;Queluzito;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Conselheiro Lafaiete
313510015;Quem-Quem;Norte de Minas;Janaúba;Janaúba
315680915;Quilombo;Vale do Rio Doce;Guanhães;Sabinópolis
311430310;Quintinos;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Carmo do Paranaíba
3153905;Raposos;Metropolitana de Belo Horizonte;Belo Horizonte;Nova Lima
3154002;Raul Soares;Zona da Mata;Ponte Nova;Raul Soares
315670020;Ravena;Metropolitana de Belo Horizonte;Belo Horizonte;Sabará
313940914;Realeza;Zona da Mata;Manhuaçu;Manhuaçu
3154101;Recreio;Zona da Mata;Cataguases;Leopoldina
3154150;Reduto;Zona da Mata;Manhuaçu;Manhuaçu
3154200;Resende Costa;Campo das Vertentes;São João Del Rei;Resende Costa
3154309;Resplendor;Vale do Rio Doce;Aimorés;Resplendor
3154408;Ressaquinha;Campo das Vertentes;Barbacena;Barbacena
316110618;Retiro;Norte de Minas;Januária;São Francisco
310860235;Retiro de Santo Antônio;Norte de Minas;Montes Claros;Brasília de Minas
310780220;Revés do Belém;Vale do Rio Doce;Caratinga;Caratinga
3154457;Riachinho;Norte de Minas;Pirapora;Bonfinópolis de Minas
313520935;Riacho da Cruz;Norte de Minas;Januária;Januária
3154507;Riacho dos Machados;Norte de Minas;Janaúba;Porteirinha
316420915;Ribanceira;Norte de Minas;Pirapora;São Romão
313840125;Ribeiro Junqueira;Zona da Mata;Cataguases;Leopoldina
316200515;Ribeiros;Sul/Sudoeste de Minas;Santa Rita do Sapucaí;São Gonçalo do Sapucaí
314180125;Ribeirão da Folha;Jequitinhonha;Capelinha;Minas Novas
3154606;Ribeirão das Neves;Metropolitana de Belo Horizonte;Belo Horizonte;Ribeirão das Neves
315790610;Ribeirão de São Domingos;Zona da Mata;Manhuaçu;Abre Campo
3154705;Ribeirão Vermelho;Campo das Vertentes;Lavras;Lavras
3154804;Rio Acima;Metropolitana de Belo Horizonte;Belo Horizonte;Nova Lima
3154903;Rio Casca;Zona da Mata;Ponte Nova;Rio Casca
316250025;Rio das Mortes;Campo das Vertentes;São João Del Rei;São João del Rei
3155108;Rio do Prado;Jequitinhonha;Almenara;Rio do Prado
3155009;Rio Doce;Zona da Mata;Ponte Nova;Ponte Nova
3155207;Rio Espera;Zona da Mata;Viçosa;Conselheiro Lafaiete
3155306;Rio Manso;Metropolitana de Belo Horizonte;Itaguara;Bom Sucesso
315520715;Rio Melo;Zona da Mata;Viçosa;Conselheiro Lafaiete
3155405;Rio Novo;Zona da Mata;Juiz de Fora;Rio Novo
3155504;Rio Paranaíba;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Rio Paranaíba
3155603;Rio Pardo de Minas;Norte de Minas;Salinas;Rio Pardo de Minas
3155702;Rio Piracicaba;Metropolitana de Belo Horizonte;Itabira;Rio Piracicaba
3155801;Rio Pomba;Zona da Mata;Ubá;Rio Pomba
316860635;Rio Pretinho;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
3155900;Rio Preto;Zona da Mata;Juiz de Fora;Rio Preto
314085235;Rio Verde de Minas;Norte de Minas;Januária;Manga
3156007;Rio Vermelho;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Rio Vermelho
3156106;Ritápolis;Campo das Vertentes;São João Del Rei;São João del Rei
3156205;Rochedo de Minas;Zona da Mata;Juiz de Fora;São João Nepomuceno
314250210;Rodeador;Central Mineira;Curvelo;Diamantina
3156304;Rodeiro;Zona da Mata;Ubá;Ubá
314610740;Rodrigo Silva;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
3156403;Romaria;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Monte Carmelo
314400320;Roseiral;Vale do Rio Doce;Aimorés;Mutum
3156452;Rosário da Limeira;Zona da Mata;Muriaé;Muriaé
313670260;Rosário de Minas;Zona da Mata;Juiz de Fora;Muriaé
315210513;Rosário do Pontal;Zona da Mata;Ponte Nova;Ponte Nova
316290620;Roça Grande;Zona da Mata;Juiz de Fora;São João Nepomuceno
311000425;Roças Novas;Metropolitana de Belo Horizonte;Belo Horizonte;Caeté
3156502;Rubelita;Norte de Minas;Salinas;Salinas
3156601;Rubim;Jequitinhonha;Almenara;Almenara
317040419;Ruralminas;Noroeste de Minas;Unaí;Unaí
3156700;Sabará;Metropolitana de Belo Horizonte;Belo Horizonte;Sabará
3156809;Sabinópolis;Vale do Rio Doce;Guanhães;Sabinópolis
3156908;Sacramento;Triângulo Mineiro/Alto Paranaíba;Araxá;Sacramento
3956908;Sacramento II;Triângulo Mineiro/Alto Paranaíba;Araxá;Sacramento
3157005;Salinas;Norte de Minas;Salinas;Salinas
314810310;Salitre de Minas;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Patrocínio
3157104;Salto da Divisa;Jequitinhonha;Almenara;Jacinto
310940220;Sambaíba de Minas;Norte de Minas;Pirapora;Pirapora
3157203;Santa Bárbara;Metropolitana de Belo Horizonte;Itabira;Santa Bárbara
3157252;Santa Bárbara do Leste;Vale do Rio Doce;Caratinga;Caratinga
3157278;Santa Bárbara do Monte Verde;Zona da Mata;Juiz de Fora;Rio Preto
315100820;Santa Bárbara do Sapucaí;Sul/Sudoeste de Minas;Itajubá;Brazópolis
3157302;Santa Bárbara do Tugúrio;Campo das Vertentes;Barbacena;Barbacena
314300515;Santa Cruz da Aparecida;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Monte Belo
310850315;Santa Cruz de Botumirim;Norte de Minas;Grão Mogol;Grão Mogol
312730508;Santa Cruz de Galiléia;Vale do Rio Doce;Governador Valadares;Galiléia
3157336;Santa Cruz de Minas;Campo das Vertentes;São João Del Rei;São João del Rei
3157377;Santa Cruz de Salinas;Norte de Minas;Salinas;Salinas
3157401;Santa Cruz do Escalvado;Zona da Mata;Ponte Nova;Ponte Nova
312830310;Santa Cruz do Prata;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Guaranésia
316265820;Santa da Pedra;Norte de Minas;Montes Claros;Coração de Jesus
311340426;Santa Efigênia de Caratinga;Vale do Rio Doce;Caratinga;Caratinga
3157500;Santa Efigênia de Minas;Vale do Rio Doce;Guanhães;Virginópolis
315890410;Santa Filomena;Zona da Mata;Manhuaçu;Manhuaçu
3157609;Santa Fé de Minas;Norte de Minas;Pirapora;São Romão
3157658;Santa Helena de Minas;Vale do Mucuri;Nanuque;Águas Formosas
316110630;Santa Isabel de Minas;Norte de Minas;Januária;São Francisco
3157708;Santa Juliana;Triângulo Mineiro/Alto Paranaíba;Araxá;Nova Ponte
3157807;Santa Luzia;Metropolitana de Belo Horizonte;Belo Horizonte;Santa Luzia
313630623;Santa Luzia da Serra;Noroeste de Minas;Paracatu;João Pinheiro
311340427;Santa Luzia de Caratinga;Vale do Rio Doce;Caratinga;Caratinga
314810313;Santa Luzia dos Barros;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Patrocínio
3157906;Santa Margarida;Zona da Mata;Manhuaçu;Abre Campo
3158003;Santa Maria de Itabira;Metropolitana de Belo Horizonte;Itabira;Itabira
316260930;Santa Maria do Baixio;Vale do Rio Doce;Caratinga;Inhapim
3158102;Santa Maria do Salto;Jequitinhonha;Almenara;Jacinto
3158201;Santa Maria do Suaçuí;Vale do Rio Doce;Peçanha;Santa Maria do Suaçuí
312480715;Santa Rita da Estrela;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Estrela do Sul
3159209;Santa Rita de Caldas;Sul/Sudoeste de Minas;Poços de Caldas;Santa Rita de Caldas
3159407;Santa Rita de Ibitipoca;Zona da Mata;Juiz de Fora;Barbacena
3159308;Santa Rita de Jacutinga;Zona da Mata;Juiz de Fora;Rio Preto
3159357;Santa Rita de Minas;Vale do Rio Doce;Caratinga;Caratinga
314610745;Santa Rita de Ouro Preto;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
311610030;Santa Rita do Araçuaí;Jequitinhonha;Capelinha;Capelinha
312090415;Santa Rita do Cedro;Central Mineira;Curvelo;Curvelo
3159506;Santa Rita do Itueto;Vale do Rio Doce;Aimorés;Resplendor
312590325;Santa Rita do Rio do Peixe;Metropolitana de Belo Horizonte;Itabira;Ferros
3159605;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Santa Rita do Sapucaí;Santa Rita do Sapucaí
314000150;Santa Rita Durão;Metropolitana de Belo Horizonte;Ouro Preto;Mariana
3159704;Santa Rosa da Serra;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Campos Altos
314330225;Santa Rosa de Lima;Norte de Minas;Montes Claros;Montes Claros
311930215;Santa Rosa dos Dourados;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Coromandel
314860815;Santa Teresa do Bonito;Vale do Rio Doce;Peçanha;Peçanha
313370910;Santa Terezinha de Minas;Metropolitana de Belo Horizonte;Itaguara;Itaúna
3159803;Santa Vitória;Triângulo Mineiro/Alto Paranaíba;Ituiutaba;Santa Vitória
311270320;Santana da Serra;Norte de Minas;Montes Claros;Francisco Sá
3158300;Santana da Vargem;Sul/Sudoeste de Minas;Varginha;Três Pontas
311030110;Santana de Caldas;Sul/Sudoeste de Minas;Poços de Caldas;Caldas
3158409;Santana de Cataguases;Zona da Mata;Cataguases;Cataguases
314800430;Santana de Patos;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
3158508;Santana de Pirapama;Metropolitana de Belo Horizonte;Sete Lagoas;Sete Lagoas
316110635;Santana de São Francisco;Norte de Minas;Januária;São Francisco
316100725;Santana do Alfié;Metropolitana de Belo Horizonte;Itabira;São Domingos do Prata
315217020;Santana do Araçuaí;Jequitinhonha;Araçuaí;Araçuaí
310460110;Santana do Campestre;Zona da Mata;Ubá;Cataguases
315260010;Santana do Capivari;Sul/Sudoeste de Minas;São Lourenço;São Lourenço
3158607;Santana do Deserto;Zona da Mata;Juiz de Fora;Matias Barbosa
3158706;Santana do Garambéu;Campo das Vertentes;São João Del Rei;Barbacena
3158805;Santana do Jacaré;Oeste de Minas;Campo Belo;Campo Belo
3158904;Santana do Manhuaçu;Zona da Mata;Manhuaçu;Manhuaçu
310640810;Santana do Paraopeba;Metropolitana de Belo Horizonte;Itaguara;Belo Vale
3158953;Santana do Paraíso;Vale do Rio Doce;Ipatinga;Ipatinga
3159001;Santana do Riacho;Metropolitana de Belo Horizonte;Sete Lagoas;Jaboticatubas
315400215;Santana do Tabuleiro;Zona da Mata;Ponte Nova;Raul Soares
3159100;Santana dos Montes;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Conselheiro Lafaiete
315340030;Santiago de Minas;Noroeste de Minas;Paracatu;Presidente Olegário
316240125;Santo Antônio da Boa Vista;Norte de Minas;Montes Claros;São João da Ponte
312590330;Santo Antônio da Fortaleza;Metropolitana de Belo Horizonte;Itabira;Ferros
311420409;Santo Antônio da Serra;Oeste de Minas;Divinópolis;Carmo do Cajuru
310810710;Santo Antônio da Vargem Alegre;Metropolitana de Belo Horizonte;Itaguara;Bonfim
314467220;Santo Antônio de Nova Belém;Vale do Rio Doce;Mantena;Mantena
313090321;Santo Antônio do Alegre;Vale do Rio Doce;Caratinga;Inhapim
3159902;Santo Antônio do Amparo;Oeste de Minas;Oliveira;Bom Sucesso
3160009;Santo Antônio do Aventureiro;Zona da Mata;Cataguases;Além Paraíba
317040420;Santo Antônio do Boqueirão;Noroeste de Minas;Unaí;Unaí
314460725;Santo Antônio do Cruzeiro;Campo das Vertentes;Lavras;Nepomuceno
317140210;Santo Antônio do Glória;Zona da Mata;Muriaé;Miradouro
3160108;Santo Antônio do Grama;Zona da Mata;Ponte Nova;Rio Casca
3160207;Santo Antônio do Itambé;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Serro
3160306;Santo Antônio do Jacinto;Jequitinhonha;Almenara;Jacinto
314610750;Santo Antônio do Leite;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
311340435;Santo Antônio do Manhuaçu;Vale do Rio Doce;Caratinga;Caratinga
3160405;Santo Antônio do Monte;Oeste de Minas;Divinópolis;Santo Antônio do Monte
313920130;Santo Antônio do Mucuri;Vale do Mucuri;Teófilo Otoni;Malacacheta
311750430;Santo Antônio do Norte;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Conceição do Mato Dentro
315080215;Santo Antônio do Pirapetinga;Zona da Mata;Viçosa;Piranga
312770137;Santo Antônio do Pontal;Vale do Rio Doce;Governador Valadares;Governador Valadares
315030725;Santo Antônio do Porto;Campo das Vertentes;São João Del Rei;Barbacena
3160454;Santo Antônio do Retiro;Norte de Minas;Salinas;Rio Pardo de Minas
3160504;Santo Antônio do Rio Abaixo;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Conceição do Mato Dentro
310110233;Santo Antônio do Rio Doce;Vale do Rio Doce;Aimorés;Aimorés
312700820;Santo Antônio do Rio Grande;Triângulo Mineiro/Alto Paranaíba;Frutal;Frutal
314610752;Santo Antônio do Salto;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
316450615;Santo Antônio dos Araújos;Vale do Rio Doce;Peçanha;Santa Maria do Suaçuí
312230610;Santo Antônio dos Campos;Oeste de Minas;Divinópolis;Divinópolis
315050510;Santo Hilário;Oeste de Minas;Formiga;Formiga
3160603;Santo Hipólito;Central Mineira;Curvelo;Corinto
3160702;Santos Dumont;Zona da Mata;Juiz de Fora;Santos Dumont
315250110;Sao José do Pântano;Sul/Sudoeste de Minas;Pouso Alegre;Pouso Alegre
311340450;Sapucaia;Vale do Rio Doce;Caratinga;Caratinga
312800620;Sapucaia de Guanhães;Vale do Rio Doce;Guanhães;Guanhães
312730515;Sapucaia do Norte;Vale do Rio Doce;Governador Valadares;Galiléia
313490515;Sapucaí;Sul/Sudoeste de Minas;Poços de Caldas;Jacutinga
3165404;Sapucaí-Mirim;Sul/Sudoeste de Minas;Pouso Alegre;Paraisópolis
313670270;Sarandira;Zona da Mata;Juiz de Fora;Juiz de Fora
3165503;Sardoá;Vale do Rio Doce;Guanhães;Virginópolis
3165537;Sarzedo;Metropolitana de Belo Horizonte;Belo Horizonte;Ibirité
313980515;Saudade;Zona da Mata;Juiz de Fora;Mar de Espanha
3165560;Sem-Peixe;Zona da Mata;Ponte Nova;Alvinópolis
3165578;Senador Amaral;Sul/Sudoeste de Minas;Pouso Alegre;Cambuí
3165602;Senador Cortes;Zona da Mata;Juiz de Fora;Mar de Espanha
3165701;Senador Firmino;Zona da Mata;Ubá;Senador Firmino
3165800;Senador José Bento;Sul/Sudoeste de Minas;Pouso Alegre;Pouso Alegre
311940110;Senador Melo Viana;Vale do Rio Doce;Ipatinga;Coronel Fabriciano
3165909;Senador Modestino Gonçalves;Jequitinhonha;Diamantina;Diamantina
312160550;Senador Mourão;Jequitinhonha;Diamantina;Diamantina
316060310;Senhora da Glória;Central Mineira;Curvelo;Corinto
312580410;Senhora da Penha;Vale do Rio Doce;Governador Valadares;Tarumirim
310560820;Senhora das Dores;Campo das Vertentes;Barbacena;Barbacena
3166006;Senhora de Oliveira;Zona da Mata;Viçosa;Piranga
313170315;Senhora do Carmo;Metropolitana de Belo Horizonte;Itabira;Itabira
3166105;Senhora do Porto;Vale do Rio Doce;Guanhães;Guanhães
311750436;Senhora do Socorro;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Conceição do Mato Dentro
3166204;Senhora dos Remédios;Campo das Vertentes;Barbacena;Barbacena
311530015;Sereno;Zona da Mata;Cataguases;Cataguases
3166303;Sericita;Zona da Mata;Ponte Nova;Abre Campo
3166402;Seritinga;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
314070420;Serra Azul;Metropolitana de Belo Horizonte;Belo Horizonte;Mateus Leme
3166501;Serra Azul de Minas;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Serro
310930310;Serra Bonita;Noroeste de Minas;Unaí;Buritis
315220422;Serra Branca de Minas;Norte de Minas;Janaúba;Porteirinha
316430815;Serra da Canastra;Oeste de Minas;Piuí;São Roque de Minas
3166600;Serra da Saudade;Central Mineira;Bom Despacho;Dores do Indaiá
311615920;Serra das Araras;Norte de Minas;Januária;Arinos
312390810;Serra do Camapuã;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Entre Rios de Minas
315900110;Serra do Cipó;Metropolitana de Belo Horizonte;Sete Lagoas;Jaboticatubas
3166808;Serra do Salitre;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Patrocínio
3166709;Serra dos Aimorés;Vale do Mucuri;Nanuque;Nanuque
310950110;Serra dos Lemes;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Cabo Verde
315560325;Serra Nova;Norte de Minas;Salinas;Rio Pardo de Minas
3166907;Serrania;Sul/Sudoeste de Minas;Alfenas;Alfenas
3167004;Serranos;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
3166956;Serranópolis de Minas;Norte de Minas;Janaúba;Porteirinha
3167103;Serro;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Serro
310830515;Sertãozinho;Sul/Sudoeste de Minas;Pouso Alegre;Borda da Mata
312590335;Sete Cachoeiras;Metropolitana de Belo Horizonte;Itabira;Ferros
3167202;Sete Lagoas;Metropolitana de Belo Horizonte;Sete Lagoas;Sete Lagoas
3165552;Setubinha;Vale do Mucuri;Teófilo Otoni;Malacacheta
315200610;Silva Campos;Central Mineira;Três Marias;Pompéu
316720210;Silva Xavier;Metropolitana de Belo Horizonte;Sete Lagoas;Sete Lagoas
314810320;Silvano;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Patrocínio
310550915;Silveira Carvalho;Zona da Mata;Muriaé;Palma
3167301;Silveirânia;Zona da Mata;Ubá;Rio Pomba
317130310;Silvestre;Zona da Mata;Viçosa;Viçosa
3167400;Silvianópolis;Sul/Sudoeste de Minas;Santa Rita do Sapucaí;Silvianópolis
3167608;Simonésia;Zona da Mata;Manhuaçu;Manhuaçu
316240130;Simão Campos;Norte de Minas;Montes Claros;São João da Ponte
3167509;Simão Pereira;Zona da Mata;Juiz de Fora;Matias Barbosa
315440830;Simão Tamm;Campo das Vertentes;Barbacena;Barbacena
310460115;Sobral Pinto;Zona da Mata;Ubá;Cataguases
3167707;Sobrália;Vale do Rio Doce;Governador Valadares;Tarumirim
3167806;Soledade de Minas;Sul/Sudoeste de Minas;São Lourenço;São Lourenço
312160555;Sopa;Jequitinhonha;Diamantina;Diamantina
315530610;Souza;Metropolitana de Belo Horizonte;Itaguara;Bom Sucesso
315240207;Sucanga;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
314610755;São Bartolomeu;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
310950115;São Bartolomeu de Minas;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Cabo Verde
316556030;São Bartolomeu de Sem Peixe;Zona da Mata;Ponte Nova;Alvinópolis
315780710;São Benedito;Metropolitana de Belo Horizonte;Belo Horizonte;Santa Luzia
3160801;São Bento Abade;Sul/Sudoeste de Minas;Varginha;Três Corações
315920910;São Bento de Caldas;Sul/Sudoeste de Minas;Poços de Caldas;Santa Rita de Caldas
313710620;São Brás de Minas;Noroeste de Minas;Paracatu;Presidente Olegário
3160900;São Brás do Suaçuí;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Entre Rios de Minas
312040920;São Caetano;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Conselheiro Lafaiete
311340440;São Cândido;Vale do Rio Doce;Caratinga;Caratinga
316000910;São Domingos;Zona da Mata;Cataguases;Além Paraíba
313860915;São Domingos da Bocaina;Zona da Mata;Juiz de Fora;Lima Duarte
3160959;São Domingos das Dores;Vale do Rio Doce;Caratinga;Inhapim
3161007;São Domingos do Prata;Metropolitana de Belo Horizonte;Itabira;São Domingos do Prata
3161106;São Francisco;Norte de Minas;Januária;São Francisco
3161205;São Francisco de Paula;Oeste de Minas;Oliveira;Oliveira
3161304;São Francisco de Sales;Triângulo Mineiro/Alto Paranaíba;Frutal;Itapagipe
3161403;São Francisco do Glória;Zona da Mata;Muriaé;Carangola
314400325;São Francisco do Humaitá;Vale do Rio Doce;Aimorés;Mutum
313320425;São Francisco do Jataí;Vale do Rio Doce;Governador Valadares;Itanhomi
312480720;São Félix de Estrela;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Estrela do Sul
3161056;São Félix de Minas;Vale do Rio Doce;Mantena;Mantena
311880925;São Geraldo;Norte de Minas;Montes Claros;Coração de Jesus
3161502;São Geraldo;Zona da Mata;Ubá;Visconde do Rio Branco
3161601;São Geraldo da Piedade;Vale do Rio Doce;Governador Valadares;Virginópolis
316950510;São Geraldo de Tumiritinga;Vale do Rio Doce;Governador Valadares;Conselheiro Pena
316280715;São Geraldo do Baguari;Vale do Rio Doce;Guanhães;São João Evangelista
3161650;São Geraldo do Baixio;Vale do Rio Doce;Governador Valadares;Galiléia
