Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
314180120;Lagoa Grande de Minas Novas;Jequitinhonha;Capelinha;Minas Novas
3137601;Lagoa Santa;Metropolitana de Belo Horizonte;Belo Horizonte;Lagoa Santa
313760114;Lagoinha de Fora;Metropolitana de Belo Horizonte;Belo Horizonte;Lagoa Santa
3137700;Lajinha;Zona da Mata;Manhuaçu;Lajinha
3137809;Lambari;Sul/Sudoeste de Minas;São Lourenço;Lambari
3137908;Lamim;Zona da Mata;Viçosa;Conselheiro Lafaiete
313350110;Lamounier;Oeste de Minas;Formiga;Itapecerica
316110612;Lapa do Espírito Santo;Norte de Minas;Januária;São Francisco
313760115;Lapinha;Metropolitana de Belo Horizonte;Belo Horizonte;Lagoa Santa
3138005;Laranjal;Zona da Mata;Cataguases;Muriaé
311030107;Laranjeiras de Caldas;Sul/Sudoeste de Minas;Poços de Caldas;Caldas
3138104;Lassance;Norte de Minas;Pirapora;Várzea da Palma
3138203;Lavras;Campo das Vertentes;Lavras;Lavras
314610734;Lavras Novas;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
3138302;Leandro Ferreira;Central Mineira;Bom Despacho;Pitangui
310650720;Lelivéldia;Jequitinhonha;Capelinha;Minas Novas
3138351;Leme do Prado;Jequitinhonha;Capelinha;Turmalina
3138401;Leopoldina;Zona da Mata;Cataguases;Leopoldina
313520925;Levinópolis;Norte de Minas;Januária;Januária
3138500;Liberdade;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
3138609;Lima Duarte;Zona da Mata;Juiz de Fora;Lima Duarte
313960715;Limeira de Mantena;Vale do Rio Doce;Mantena;Mantena
313750207;Limeira de Minas;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
3138625;Limeira do Oeste;Triângulo Mineiro/Alto Paranaíba;Frutal;Iturama
311800715;Lobo Leite;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Congonhas
3138658;Lontra;Norte de Minas;Montes Claros;São João da Ponte
313240460;Lourenço Velho;Sul/Sudoeste de Minas;Itajubá;Itajubá
314530710;Lufa;Jequitinhonha;Araçuaí;Novo Cruzeiro
3138674;Luisburgo;Zona da Mata;Manhuaçu;Manhuaçu
3138682;Luislândia;Norte de Minas;Montes Claros;Brasília de Minas
311880915;Luiz Pires de Minas;Norte de Minas;Montes Claros;Coração de Jesus
313630617;Luizlândia do Oeste;Noroeste de Minas;Paracatu;João Pinheiro
310890915;Luminosa;Sul/Sudoeste de Minas;Itajubá;Brazópolis
3138708;Luminárias;Campo das Vertentes;Lavras;Lavras
3138807;Luz;Central Mineira;Bom Despacho;Luz
313090316;Macadame;Vale do Rio Doce;Caratinga;Inhapim
310800810;Macaia;Oeste de Minas;Oliveira;Bom Sucesso
3138906;Machacalís;Vale do Mucuri;Nanuque;Águas Formosas
3139003;Machado;Sul/Sudoeste de Minas;Alfenas;Machado
310100330;Machado Mineiro;Norte de Minas;Salinas;Pedra Azul
313430110;Macuco de Minas;Campo das Vertentes;Lavras;Itumirim
